Required stocks,,,
Stock length,Quantity,,
96,18,,
120,9,,
Total,27,,
,,,
,,,
Cutting layouts,,,
,,,
Layout ID,Repetition,Stock length,Material remnant
A,8,96,0
Part length,Quantity,Label,
96,1,,
,,,
Layout ID,Repetition,Stock length,Material remnant
B,5,96,1
Part length,Quantity,Label,
50,1,tall stud,
45,1,short stud,
,,,
Layout ID,Repetition,Stock length,Material remnant
C,4,96,1
Part length,Quantity,Label,
54,1,floor joists,
41,1,door header,
,,,
Layout ID,Repetition,Stock length,Material remnant
D,1,96,11.5
Part length,Quantity,Label,
54,1,floor joists,
30.5,1,window header,
,,,
Layout ID,Repetition,Stock length,Material remnant
E,1,120,1
Part length,Quantity,Label,
69,1,roof joist,
50,1,tall stud,
,,,
Layout ID,Repetition,Stock length,Material remnant
F,4,120,1.5
Part length,Quantity,Label,
69,1,roof joist,
49.5,1,door frame,
,,,
Layout ID,Repetition,Stock length,Material remnant
G,2,120,6
Part length,Quantity,Label,
69,1,roof joist,
45,1,short stud,
,,,
Layout ID,Repetition,Stock length,Material remnant
H,1,120,8
Part length,Quantity,Label,
54,1,floor joists,
30.5,1,window header,
27.5,1,window sil,
,,,
Layout ID,Repetition,Stock length,Material remnant
I,1,120,16
Part length,Quantity,Label,
54,1,floor joists,
50,1,tall stud,
,,,
Created by www.opticutter.com,,,
